iter	Passed	Remaining
320	819	1733
321	821	1729
322	823	1725
323	824	1720
324	826	1716
325	828	1712
326	830	1708
327	831	1704
328	833	1700
329	835	1696
330	837	1692
331	839	1688
332	840	1684
333	842	1680
334	844	1676
335	846	1671
336	847	1667
337	849	1664
338	851	1660
339	853	1656
340	855	1652
341	856	1648
342	858	1644
343	860	1640
344	862	1636
345	863	1633
346	865	1629
347	867	1625
348	869	1621
349	870	1617
350	872	1613
351	874	1609
352	876	1606
353	878	1602
354	880	1599
355	882	1596
356	884	1593
357	886	1589
358	888	1586
359	890	1582
360	892	1579
361	894	1575
362	896	1572
363	897	1568
364	899	1565
365	901	1561
366	903	1557
367	904	1554
368	906	1550
369	908	1547
370	910	1543
371	912	1540
372	914	1536
373	916	1533
374	917	1529
375	919	1526
376	921	1522
377	922	1518
378	924	1515
379	926	1511
380	928	1508
381	930	1504
382	931	1501
383	933	1497
384	935	1494
385	937	1490
386	939	1487
387	941	1484
388	942	1481
389	944	1477
390	946	1474
391	948	1470
392	949	1467
393	952	1464
394	953	1461
395	955	1457
396	957	1454
397	959	1451
398	961	1447
399	963	1444
400	964	1441
401	966	1437
402	968	1434
403	970	1431
404	971	1427
405	973	1423
406	974	1420
407	976	1416
408	978	1413
409	979	1410
410	981	1406
411	983	1403
412	985	1400
413	986	1396
414	988	1393
415	990	1389
416	992	1387
417	994	1384
418	995	1380
419	997	1377
420	999	1373
421	1000	1370
422	1002	1367
423	1004	1364
424	1005	1360
425	1007	1357
426	1009	1354
427	1011	1351
428	1013	1348
429	1015	1345
430	1017	1342
431	1018	1339
432	1020	1336
433	1022	1333
434	1024	1330
435	1026	1327
436	1027	1324
437	1030	1321
438	1032	1318
439	1033	1315
440	1035	1312
441	1037	1309
442	1038	1306
443	1040	1302
444	1042	1299
445	1043	1296
446	1045	1293
447	1047	1290
448	1049	1288
449	1051	1285
450	1053	1282
